respondent_id,date,region,age_group,gender,education,device,Q1: Best programming language for beginners?,Q2: Preferred work mode?,Q3: Most important skill in 2024?,Q4: Preferred learning platform?,Q5: Job satisfaction level?
R0057,2024-01-15,West,25-34,Male,High School,Mobile,JavaScript,Hybrid,Cloud Computing,Others,Satisfied
R0058,2024-01-15,East,45-54,Male,Master,Desktop,Others,Remote,Data Analytics,Coursera,Satisfied
R0059,2024-01-15,East,55+,Female,Bachelor,Desktop,Python,Remote,AI/ML,YouTube,Very Satisfied
R0060,2024-01-15,North,35-44,Male,Bachelor,Desktop,Python,Hybrid,AI/ML,YouTube,Very Satisfied
R0061,2024-01-16,North,25-34,Male,High School,Mobile,Python,Remote,Cloud Computing,Coursera,Neutral
R0062,2024-01-16,North,45-54,Female,High School,Desktop,C++,Remote,AI/ML,LinkedIn Learning,Neutral
R0063,2024-01-16,North,25-34,Male,Bachelor,Desktop,Python,Hybrid,Cybersecurity,YouTube,Satisfied
R0064,2024-01-16,West,55+,Female,Bachelor,Mobile,Python,Hybrid,AI/ML,YouTube,Satisfied
R0065,2024-01-17,North,25-34,Male,Bachelor,Mobile,C++,Hybrid,Cybersecurity,LinkedIn Learning,Satisfied
R0066,2024-01-17,North,35-44,Female,Master,Mobile,Python,Remote,Cloud Computing,Udemy,Neutral
R0067,2024-01-17,South,55+,Female,Bachelor,Mobile,Python,Remote,AI/ML,YouTube,Satisfied
R0068,2024-01-17,North,55+,Male,Bachelor,Mobile,Others,Remote,Cloud Computing,Others,Dissatisfied
R0069,2024-01-18,West,25-34,Male,Master,Tablet,JavaScript,Hybrid,AI/ML,LinkedIn Learning,Very Satisfied
R0070,2024-01-18,South,25-34,Female,Bachelor,Mobile,JavaScript,Remote,Cloud Computing,YouTube,Satisfied
R0071,2024-01-18,East,18-24,Male,High School,Mobile,Others,Remote,Data Analytics,YouTube,Neutral
R0072,2024-01-18,West,35-44,Male,Bachelor,Mobile,C++,On-site,Blockchain,YouTube,Neutral
R0073,2024-01-19,Central,18-24,Male,Master,Desktop,C++,Remote,Cybersecurity,YouTube,Very Satisfied
R0074,2024-01-19,North,45-54,Female,Bachelor,Mobile,C++,Hybrid,Data Analytics,Coursera,Satisfied
R0075,2024-01-19,East,25-34,Female,Bachelor,Mobile,C++,Hybrid,Cloud Computing,Others,Neutral
R0076,2024-01-19,North,55+,Female,Bachelor,Mobile,Java,Hybrid,Cloud Computing,LinkedIn Learning,Neutral
R0077,2024-01-20,North,25-34,Male,Master,Mobile,JavaScript,Hybrid,Data Analytics,Coursera,Dissatisfied
R0078,2024-01-20,North,45-54,Male,Bachelor,Desktop,Python,Remote,Cybersecurity,Udemy,Neutral
R0079,2024-01-20,West,35-44,Male,Bachelor,Mobile,C++,Hybrid,Cloud Computing,Coursera,Dissatisfied
R0080,2024-01-20,North,35-44,Female,Master,Mobile,C++,On-site,Cloud Computing,Udemy,Dissatisfied
R0081,2024-01-21,West,18-24,Female,Master,Mobile,Java,On-site,Data Analytics,Coursera,Very Satisfied
R0082,2024-01-21,Central,45-54,Male,PhD,Desktop,JavaScript,Hybrid,Cloud Computing,YouTube,Satisfied
R0083,2024-01-21,West,18-24,Male,Bachelor,Mobile,C++,Remote,AI/ML,Udemy,Satisfied
R0084,2024-01-21,South,25-34,Male,High School,Mobile,Python,On-site,Cloud Computing,Udemy,Neutral
R0085,2024-01-22,North,35-44,Male,PhD,Mobile,Python,Remote,Blockchain,Coursera,Neutral
R0086,2024-01-22,North,45-54,Male,PhD,Mobile,Python,Remote,Cloud Computing,Udemy,Very Satisfied
R0087,2024-01-22,West,25-34,Female,Bachelor,Mobile,JavaScript,Remote,AI/ML,LinkedIn Learning,Dissatisfied
R0088,2024-01-22,South,25-34,Female,Bachelor,Mobile,Python,Hybrid,Cybersecurity,YouTube,Satisfied
R0089,2024-01-23,South,35-44,Male,High School,Desktop,Python,Hybrid,AI/ML,YouTube,Satisfied
R0090,2024-01-23,West,45-54,Female,Bachelor,Desktop,Python,Remote,Data Analytics,YouTube,Very Satisfied
R0091,2024-01-23,North,18-24,Male,Bachelor,Mobile,C++,On-site,AI/ML,YouTube,Satisfied
R0092,2024-01-23,East,25-34,Female,Bachelor,Desktop,Python,Remote,Data Analytics,LinkedIn Learning,Very Satisfied
R0093,2024-01-24,Central,35-44,Female,Master,Mobile,Python,Remote,Cloud Computing,Udemy,Satisfied
R0094,2024-01-24,North,45-54,Prefer not to say,Bachelor,Mobile,Python,Remote,Data Analytics,YouTube,Neutral
R0095,2024-01-24,South,35-44,Female,Master,Mobile,Python,Remote,Data Analytics,LinkedIn Learning,Neutral
R0096,2024-01-24,West,35-44,Male,PhD,Mobile,Python,Hybrid,AI/ML,YouTube,Neutral
R0097,2024-01-25,North,35-44,Male,Bachelor,Mobile,Python,Hybrid,AI/ML,Udemy,Satisfied
R0098,2024-01-25,West,55+,Female,Bachelor,Mobile,Python,Hybrid,AI/ML,Coursera,Neutral
R0099,2024-01-25,South,45-54,Male,High School,Desktop,JavaScript,Hybrid,Cloud Computing,YouTube,Neutral
R0100,2024-01-25,West,35-44,Male,Bachelor,Mobile,Python,On-site,AI/ML,Others,Satisfied
R0101,2024-01-26,North,35-44,Female,Master,Desktop,JavaScript,Hybrid,Data Analytics,YouTube,Satisfied
R0102,2024-01-26,South,55+,Non-binary,High School,Desktop,C++,Remote,Cloud Computing,Others,Very Satisfied
R0103,2024-01-26,West,25-34,Non-binary,PhD,Tablet,Python,On-site,Data Analytics,Coursera,Dissatisfied
R0104,2024-01-26,North,35-44,Male,High School,Mobile,JavaScript,Remote,Cybersecurity,YouTube,Satisfied
R0105,2024-01-27,East,45-54,Male,Master,Desktop,JavaScript,Remote,AI/ML,LinkedIn Learning,Very Satisfied
R0106,2024-01-27,Central,35-44,Non-binary,Master,Tablet,Python,Hybrid,Cloud Computing,Coursera,Neutral
R0107,2024-01-27,Central,55+,Female,Bachelor,Mobile,Java,Remote,AI/ML,Coursera,Satisfied
R0108,2024-01-27,South,25-34,Male,High School,Tablet,Python,Hybrid,Cybersecurity,YouTube,Dissatisfied
R0109,2024-01-28,West,18-24,Male,Master,Tablet,Python,Hybrid,AI/ML,Others,Satisfied
R0110,2024-01-28,Central,35-44,Female,Bachelor,Mobile,Python,Remote,AI/ML,LinkedIn Learning,Satisfied
R0111,2024-01-28,North,55+,Female,PhD,Tablet,Python,Hybrid,Cybersecurity,Udemy,Very Satisfied
R0112,2024-01-28,West,25-34,Male,Bachelor,Desktop,JavaScript,Remote,Data Analytics,YouTube,Very Satisfied
R0113,2024-01-29,Central,55+,Female,Master,Desktop,JavaScript,Remote,Cloud Computing,Coursera,Satisfied
R0114,2024-01-29,West,35-44,Male,Bachelor,Desktop,Python,On-site,Cloud Computing,Coursera,Neutral
R0115,2024-01-29,Central,25-34,Female,Bachelor,Mobile,C++,On-site,Cybersecurity,LinkedIn Learning,Dissatisfied
R0116,2024-01-29,West,45-54,Female,Master,Desktop,Java,Remote,Data Analytics,LinkedIn Learning,Very Satisfied
R0117,2024-01-30,Central,18-24,Male,Master,Mobile,Java,On-site,Cloud Computing,YouTube,Satisfied
R0118,2024-01-30,West,55+,Female,Bachelor,Desktop,JavaScript,Hybrid,AI/ML,LinkedIn Learning,Satisfied
R0119,2024-01-30,Central,25-34,Female,PhD,Mobile,Others,Hybrid,AI/ML,Coursera,Neutral
R0120,2024-01-30,North,35-44,Male,Master,Mobile,C++,On-site,Blockchain,Udemy,Very Satisfied
R0121,2024-01-31,West,18-24,Male,Bachelor,Mobile,Java,Hybrid,Cloud Computing,YouTube,Very Dissatisfied
R0122,2024-01-31,East,25-34,Male,Master,Desktop,Python,Remote,Cybersecurity,Udemy,Satisfied
R0123,2024-01-31,Central,18-24,Male,PhD,Mobile,JavaScript,Hybrid,AI/ML,Others,Satisfied
R0124,2024-01-31,Central,25-34,Male,High School,Desktop,Python,On-site,Cloud Computing,Others,Very Satisfied
R0125,2024-02-01,Central,45-54,Female,Master,Desktop,JavaScript,Remote,AI/ML,Others,Neutral
R0126,2024-02-01,West,35-44,Male,High School,Desktop,Python,Remote,Cloud Computing,YouTube,Neutral
R0127,2024-02-01,South,45-54,Male,Bachelor,Mobile,Python,Hybrid,Cloud Computing,Udemy,Satisfied
R0128,2024-02-01,West,45-54,Female,High School,Mobile,Python,Remote,Blockchain,YouTube,Satisfied
R0129,2024-02-02,West,45-54,Female,High School,Mobile,JavaScript,Remote,Cloud Computing,YouTube,Very Satisfied
R0130,2024-02-02,South,18-24,Female,Master,Desktop,Python,Remote,AI/ML,Udemy,Neutral
R0131,2024-02-02,North,55+,Male,Bachelor,Desktop,C++,Hybrid,Data Analytics,Coursera,Neutral
R0132,2024-02-02,North,55+,Female,Master,Mobile,JavaScript,Hybrid,Cybersecurity,YouTube,Very Satisfied
R0133,2024-02-03,South,18-24,Female,Bachelor,Tablet,Python,Remote,Cybersecurity,Udemy,Satisfied
R0134,2024-02-03,East,45-54,Male,PhD,Tablet,JavaScript,Remote,Cybersecurity,YouTube,Very Satisfied
R0135,2024-02-03,South,25-34,Female,Master,Desktop,Python,Remote,Cloud Computing,Others,Very Satisfied
R0136,2024-02-03,Central,35-44,Male,Master,Mobile,C++,On-site,Cloud Computing,YouTube,Neutral
R0137,2024-02-04,Central,25-34,Female,Master,Desktop,Python,Hybrid,Data Analytics,YouTube,Satisfied
R0138,2024-02-04,Central,18-24,Female,Bachelor,Mobile,C++,Hybrid,Cloud Computing,Coursera,Neutral
R0139,2024-02-04,North,25-34,Prefer not to say,Bachelor,Desktop,Python,Hybrid,AI/ML,Others,Satisfied
R0140,2024-02-04,South,18-24,Male,Bachelor,Mobile,Java,Hybrid,AI/ML,Udemy,Neutral
R0141,2024-02-05,North,18-24,Male,Master,Desktop,Python,On-site,Data Analytics,Udemy,Dissatisfied
R0142,2024-02-05,North,18-24,Male,High School,Mobile,C++,Remote,AI/ML,Coursera,Dissatisfied
R0143,2024-02-05,South,35-44,Male,High School,Tablet,Others,Remote,Blockchain,Udemy,Dissatisfied
R0144,2024-02-05,East,35-44,Female,Master,Mobile,Python,Remote,Cybersecurity,YouTube,Neutral
R0145,2024-02-06,Central,18-24,Female,Bachelor,Desktop,Python,Hybrid,Data Analytics,Others,Neutral
R0146,2024-02-06,East,35-44,Female,Bachelor,Mobile,Others,Hybrid,Cybersecurity,YouTube,Neutral
R0147,2024-02-06,South,35-44,Male,Master,Tablet,Python,On-site,Cloud Computing,LinkedIn Learning,Neutral
R0148,2024-02-06,East,45-54,Female,Bachelor,Mobile,JavaScript,On-site,Cybersecurity,LinkedIn Learning,Satisfied
R0149,2024-02-07,West,18-24,Female,High School,Mobile,Python,Hybrid,Cybersecurity,Coursera,Satisfied
R0150,2024-02-07,South,25-34,Male,High School,Desktop,JavaScript,Hybrid,Cloud Computing,Coursera,Dissatisfied
R0151,2024-02-07,East,25-34,Male,Bachelor,Mobile,Python,Hybrid,Cloud Computing,Udemy,Neutral
R0152,2024-02-07,West,45-54,Non-binary,High School,Mobile,Python,Hybrid,Data Analytics,YouTube,Dissatisfied
R0153,2024-02-08,North,55+,Male,High School,Mobile,Python,Remote,AI/ML,LinkedIn Learning,Satisfied
R0154,2024-02-08,South,35-44,Female,Bachelor,Mobile,Python,Remote,Cybersecurity,YouTube,Satisfied
R0155,2024-02-08,West,18-24,Female,Bachelor,Tablet,JavaScript,On-site,Cloud Computing,YouTube,Neutral
R0156,2024-02-08,Central,35-44,Female,PhD,Mobile,Python,Hybrid,Cloud Computing,LinkedIn Learning,Dissatisfied
R0157,2024-02-09,South,25-34,Female,Bachelor,Desktop,Python,Hybrid,AI/ML,Udemy,Satisfied
R0158,2024-02-09,East,18-24,Female,Master,Mobile,Python,Remote,Cybersecurity,Udemy,Satisfied
R0159,2024-02-09,South,25-34,Female,Bachelor,Tablet,Python,Hybrid,Cloud Computing,Coursera,Neutral
R0160,2024-02-09,West,55+,Male,High School,Desktop,JavaScript,Remote,AI/ML,YouTube,Dissatisfied
R0161,2024-02-10,North,25-34,Male,Bachelor,Mobile,Python,Remote,Data Analytics,YouTube,Satisfied
R0162,2024-02-10,Central,35-44,Female,Bachelor,Mobile,JavaScript,On-site,Cybersecurity,Udemy,Neutral
R0163,2024-02-10,East,18-24,Female,PhD,Mobile,JavaScript,Remote,Cloud Computing,YouTube,Satisfied
R0164,2024-02-10,West,25-34,Female,Master,Tablet,Python,Hybrid,AI/ML,Others,Dissatisfied
R0165,2024-02-11,East,45-54,Female,Master,Mobile,Java,Remote,Data Analytics,LinkedIn Learning,Neutral
R0166,2024-02-11,North,25-34,Male,Bachelor,Mobile,C++,Hybrid,AI/ML,Coursera,Satisfied
R0167,2024-02-11,West,35-44,Female,Bachelor,Tablet,C++,Remote,Data Analytics,YouTube,Neutral
R0168,2024-02-11,South,45-54,Female,Master,Desktop,Python,Remote,Cloud Computing,YouTube,Neutral
R0169,2024-02-12,South,55+,Female,Master,Mobile,C++,On-site,Cloud Computing,Udemy,Neutral
R0170,2024-02-12,North,35-44,Male,High School,Mobile,Python,Remote,AI/ML,Others,Satisfied
R0171,2024-02-12,Central,25-34,Male,Bachelor,Mobile,Python,Hybrid,AI/ML,Udemy,Neutral
R0172,2024-02-12,North,18-24,Female,Bachelor,Mobile,Others,Remote,Cybersecurity,Others,Satisfied
R0173,2024-02-13,North,18-24,Male,High School,Desktop,Python,Hybrid,Blockchain,LinkedIn Learning,Neutral
R0174,2024-02-13,South,35-44,Female,Bachelor,Mobile,C++,Hybrid,AI/ML,Coursera,Satisfied
R0175,2024-02-13,Central,45-54,Female,High School,Mobile,JavaScript,Remote,AI/ML,LinkedIn Learning,Very Satisfied
R0176,2024-02-13,East,25-34,Male,Bachelor,Tablet,Java,On-site,Cloud Computing,YouTube,Satisfied
R0177,2024-02-14,East,45-54,Male,Bachelor,Mobile,Python,Hybrid,Cloud Computing,Coursera,Satisfied
R0178,2024-02-14,East,45-54,Female,PhD,Desktop,Python,Hybrid,Cloud Computing,YouTube,Dissatisfied
R0179,2024-02-14,North,55+,Male,Master,Desktop,C++,Hybrid,Cybersecurity,YouTube,Satisfied
R0180,2024-02-14,North,45-54,Female,Master,Mobile,Python,Hybrid,AI/ML,YouTube,Very Satisfied
R0181,2024-02-15,Central,45-54,Male,Bachelor,Mobile,Java,Hybrid,AI/ML,YouTube,Very Satisfied
R0182,2024-02-15,West,45-54,Male,High School,Mobile,Others,Remote,Cybersecurity,Udemy,Satisfied
R0183,2024-02-15,North,18-24,Female,Master,Desktop,JavaScript,Remote,Blockchain,LinkedIn Learning,Satisfied
R0184,2024-02-15,Central,35-44,Female,Master,Desktop,JavaScript,Remote,AI/ML,Others,Satisfied
R0185,2024-02-16,South,25-34,Male,Master,Tablet,Python,Remote,AI/ML,LinkedIn Learning,Neutral
R0186,2024-02-16,South,45-54,Female,Master,Tablet,Python,Hybrid,Cloud Computing,LinkedIn Learning,Neutral
R0187,2024-02-16,West,35-44,Male,Bachelor,Tablet,Others,Remote,AI/ML,YouTube,Neutral
R0188,2024-02-16,West,25-34,Female,Master,Desktop,JavaScript,Hybrid,Cloud Computing,YouTube,Satisfied
R0189,2024-02-17,West,45-54,Female,Master,Mobile,Python,Remote,AI/ML,Udemy,Very Dissatisfied
R0190,2024-02-17,North,25-34,Female,Bachelor,Desktop,Java,Hybrid,AI/ML,Coursera,Neutral
R0191,2024-02-17,East,18-24,Female,High School,Desktop,Python,On-site,Cloud Computing,Coursera,Very Satisfied
R0192,2024-02-17,South,45-54,Prefer not to say,Bachelor,Mobile,Java,On-site,Cloud Computing,Coursera,Satisfied
R0193,2024-02-18,West,18-24,Female,Bachelor,Desktop,Python,Hybrid,Cloud Computing,Udemy,Very Satisfied
R0194,2024-02-18,East,35-44,Female,Master,Desktop,Java,Remote,Data Analytics,Coursera,Very Satisfied
R0195,2024-02-18,North,25-34,Female,Master,Desktop,Python,Hybrid,AI/ML,Coursera,Satisfied
R0196,2024-02-18,North,25-34,Female,Master,Tablet,C++,Hybrid,Cloud Computing,Udemy,Neutral
R0197,2024-02-19,North,25-34,Female,Bachelor,Desktop,JavaScript,Remote,Cloud Computing,Coursera,Very Satisfied
R0198,2024-02-19,North,45-54,Male,Bachelor,Mobile,Others,Remote,Cloud Computing,LinkedIn Learning,Dissatisfied
R0199,2024-02-19,North,45-54,Male,Bachelor,Mobile,Python,Hybrid,Cloud Computing,Coursera,Neutral
R0200,2024-02-19,West,18-24,Female,High School,Desktop,JavaScript,On-site,AI/ML,YouTube,Satisfied
R0201,2024-02-20,South,25-34,Female,Bachelor,Mobile,Java,Hybrid,Cybersecurity,YouTube,Satisfied
R0202,2024-02-20,North,18-24,Female,High School,Mobile,Python,Remote,Data Analytics,YouTube,Neutral
R0203,2024-02-20,Central,35-44,Non-binary,High School,Mobile,Python,Hybrid,Blockchain,YouTube,Neutral
R0204,2024-02-20,North,35-44,Male,PhD,Desktop,Python,Remote,AI/ML,YouTube,Satisfied
R0205,2024-02-21,Central,35-44,Female,High School,Desktop,Java,Remote,Cybersecurity,Udemy,Very Satisfied
R0206,2024-02-21,East,35-44,Male,PhD,Desktop,JavaScript,Hybrid,Cloud Computing,Udemy,Satisfied
R0207,2024-02-21,North,35-44,Female,Bachelor,Mobile,Java,Remote,AI/ML,YouTube,Satisfied
R0208,2024-02-21,West,35-44,Male,Master,Desktop,C++,Remote,Cloud Computing,Others,Neutral
R0209,2024-02-22,North,18-24,Male,PhD,Mobile,Python,Remote,Cybersecurity,LinkedIn Learning,Satisfied
R0210,2024-02-22,West,55+,Male,Bachelor,Mobile,Java,Hybrid,Cybersecurity,LinkedIn Learning,Satisfied
R0211,2024-02-22,Central,35-44,Male,Master,Desktop,Python,On-site,Data Analytics,YouTube,Very Dissatisfied
R0212,2024-02-22,North,25-34,Male,PhD,Desktop,Python,Hybrid,Cybersecurity,YouTube,Dissatisfied
R0213,2024-02-23,West,35-44,Prefer not to say,Bachelor,Tablet,JavaScript,Hybrid,AI/ML,LinkedIn Learning,Satisfied
R0214,2024-02-23,North,18-24,Female,Bachelor,Desktop,C++,Remote,Cybersecurity,YouTube,Dissatisfied
R0215,2024-02-23,West,35-44,Female,Bachelor,Mobile,Java,Hybrid,Cloud Computing,Coursera,Dissatisfied
R0216,2024-02-23,South,18-24,Female,Master,Mobile,Python,Remote,AI/ML,Coursera,Neutral
R0217,2024-02-24,West,35-44,Male,Master,Mobile,Others,Hybrid,AI/ML,Udemy,Satisfied
R0218,2024-02-24,West,18-24,Male,Master,Mobile,Java,Remote,Cybersecurity,Udemy,Satisfied
R0219,2024-02-24,South,25-34,Male,Bachelor,Desktop,Others,On-site,Cybersecurity,LinkedIn Learning,Neutral
R0220,2024-02-24,South,55+,Female,Bachelor,Mobile,JavaScript,Hybrid,Data Analytics,Udemy,Satisfied
R0221,2024-02-25,Central,18-24,Male,High School,Desktop,C++,Remote,Data Analytics,YouTube,Dissatisfied
R0222,2024-02-25,West,45-54,Male,PhD,Desktop,Python,On-site,AI/ML,LinkedIn Learning,Very Satisfied
R0223,2024-02-25,West,35-44,Male,Bachelor,Mobile,Python,Remote,Cloud Computing,YouTube,Satisfied
R0224,2024-02-25,West,18-24,Female,Master,Desktop,JavaScript,On-site,AI/ML,YouTube,Satisfied
R0225,2024-02-26,West,18-24,Female,PhD,Desktop,JavaScript,Remote,Data Analytics,Udemy,Very Satisfied
R0226,2024-02-26,North,55+,Female,Master,Desktop,JavaScript,Hybrid,Cloud Computing,Coursera,Satisfied
R0227,2024-02-26,West,35-44,Female,Bachelor,Desktop,JavaScript,Hybrid,Cybersecurity,YouTube,Satisfied
R0228,2024-02-26,North,25-34,Female,Master,Tablet,JavaScript,Hybrid,Cloud Computing,Udemy,Very Satisfied
R0229,2024-02-27,South,25-34,Male,High School,Mobile,Python,On-site,AI/ML,Coursera,Very Satisfied
R0230,2024-02-27,West,25-34,Male,Bachelor,Mobile,Python,Remote,AI/ML,YouTube,Satisfied
R0231,2024-02-27,West,35-44,Female,Bachelor,Tablet,Python,Remote,Cybersecurity,YouTube,Satisfied
R0232,2024-02-27,East,45-54,Female,Master,Tablet,Python,Remote,Cloud Computing,Coursera,Satisfied
R0233,2024-02-28,Central,45-54,Female,Bachelor,Desktop,Others,On-site,AI/ML,Udemy,Very Satisfied
R0234,2024-02-28,South,18-24,Female,Master,Mobile,Python,Hybrid,Cloud Computing,YouTube,Satisfied
R0235,2024-02-28,West,18-24,Male,Bachelor,Tablet,JavaScript,Hybrid,Cloud Computing,Udemy,Very Satisfied
R0236,2024-02-28,West,55+,Female,Master,Desktop,Python,On-site,AI/ML,Coursera,Very Satisfied
R0237,2024-02-29,North,25-34,Male,Bachelor,Desktop,Python,Remote,Cloud Computing,Coursera,Neutral
R0238,2024-02-29,West,45-54,Female,Bachelor,Desktop,Python,Remote,Cybersecurity,Coursera,Neutral
R0239,2024-02-29,Central,45-54,Female,Bachelor,Mobile,JavaScript,Remote,Cybersecurity,Udemy,Neutral
R0240,2024-02-29,South,18-24,Male,High School,Desktop,Python,Remote,AI/ML,Udemy,Neutral
R0241,2024-03-01,South,18-24,Male,Bachelor,Desktop,JavaScript,Remote,AI/ML,Others,Satisfied
